"Metering point","OBIS code","Unit","Started at","Value (1-65:1.29.9)","Interval length (min)","Estimated/measured/edited","Version"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T18:00:00+01:00","32.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T18:15:00+01:00","1.600","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T18:30:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T18:45:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T19:00:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T19:15:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T19:30:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T19:45:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T20:00:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T20:15:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T20:30:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T20:45:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T21:00:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T21:15:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T21:30:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T21:45:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T22:00:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T22:15:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T22:30:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T22:45:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T23:00:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T23:15:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T23:30:00+01:00","0.800","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-24T23:45:00+01:00","0.000","15","Measured","24"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T00:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T00:15:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T00:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T00:45:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T01:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T01:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T01:30:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T01:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T02:00:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T02:15:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T02:30:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T02:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T03:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T03:15:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T03:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T03:45:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T04:00:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T04:15:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T04:30:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T04:45:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T05:00:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T05:15:00+01:00","0.800","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T05:30:00+01:00","0.000","15","Measured","3"
"LU0000010669300000000000070620104","1-65:1.29.9","kW","2025-02-25T05:45:00+01:00","0.800","15","Measured","3"
